year,month,monthly_temperature_K,monthly_temperature_C
1940,1,272.83038,-0.3196106
1940,2,272.94833,-0.20166016
1940,3,275.88095,2.730957
1940,4,282.84,9.690002
1940,5,287.46182,14.311829
1940,6,290.2277,17.077698
1940,7,289.5715,16.421509
1940,8,288.72037,15.570374
1940,9,286.63242,13.482422
1940,10,283.3714,10.221405
1940,11,278.58463,5.4346313
1940,12,273.6716,0.52160645
1941,1,271.8901,-1.2598877
1941,2,275.37122,2.221222
1941,3,278.82224,5.672241
1941,4,282.733,9.583008
1941,5,287.16635,14.016357
1941,6,288.52972,15.37973
1941,7,289.35553,16.205536
1941,8,288.6136,15.463593
1941,9,286.54282,13.392822
1941,10,282.00977,8.859772
1941,11,278.12775,4.9777527
1941,12,276.0819,2.9319153
1942,1,272.34525,-0.80474854
1942,2,273.87384,0.72384644
1942,3,278.84433,5.694336
1942,4,284.18304,11.033051
1942,5,288.5164,15.366394
1942,6,290.2501,17.100098
1942,7,288.5292,15.379211
1942,8,288.21405,15.064056
1942,9,286.38153,13.231537
1942,10,281.79077,8.640778
1942,11,277.556,4.406006
1942,12,273.9732,0.82321167
1943,1,272.3694,-0.78060913
1943,2,275.9091,2.7590942
1943,3,280.0083,6.858307
1943,4,281.2561,8.10611
1943,5,286.8322,13.68222
1943,6,288.86664,15.716644
1943,7,288.65015,15.500153
1943,8,287.71622,14.566223
1943,9,286.84906,13.699066
1943,10,282.22543,9.075439
1943,11,278.99997,5.8499756
1943,12,275.4414,2.2914124
1944,1,272.53326,-0.61672974
1944,2,273.558,0.40802002
1944,3,278.70984,5.559845
1944,4,282.28616,9.136169
1944,5,289.02844,15.8784485
1944,6,290.47864,17.328644
1944,7,289.5137,16.363708
1944,8,289.14734,15.997345
1944,9,287.42328,14.273285
1944,10,283.97653,10.826538
1944,11,279.3513,6.201294
1944,12,276.30157,3.1515808
1945,1,270.3442,-2.8057861
1945,2,272.36752,-0.7824707
1945,3,279.11105,5.9610596
1945,4,282.30347,9.153473
1945,5,286.71295,13.562958
1945,6,290.53107,17.381073
1945,7,289.79535,16.645355
1945,8,289.19366,16.04367
1945,9,287.945,14.795013
1945,10,281.7177,8.5677185
1945,11,275.12698,1.9769897
1945,12,271.85153,-1.2984619
1946,1,274.26373,1.113739
1946,2,276.67505,3.525055
1946,3,278.7736,5.623596
1946,4,284.0555,10.905518
1946,5,288.0998,14.949799
1946,6,291.15286,18.002869
1946,7,290.27057,17.120575
1946,8,289.69333,16.543335
1946,9,287.97934,14.829346
1946,10,282.68774,9.53775
1946,11,278.79904,5.649048
1946,12,274.3637,1.2137146
1947,1,271.49362,-1.6563721
1947,2,274.3304,1.1804199
1947,3,280.01755,6.8675537
1947,4,285.8861,12.7361145
1947,5,288.46896,15.31897
1947,6,291.11844,17.968445
1947,7,289.8037,16.653717
1947,8,289.21387,16.063873
1947,9,288.09845,14.948456
1947,10,283.6003,10.450317
1947,11,278.49152,5.341522
1947,12,275.0043,1.8543091
1948,1,272.8858,-0.26419067
1948,2,273.45316,0.30316162
1948,3,278.26364,5.1136475
1948,4,285.05865,11.908661
1948,5,288.71152,15.561523
1948,6,291.52844,18.378448
1948,7,289.65863,16.508636
1948,8,289.0397,15.889709
1948,9,287.7674,14.617401
1948,10,283.041,9.890991
1948,11,278.55405,5.4040527
1948,12,273.34076,0.19076538
1949,1,273.88736,0.7373657
1949,2,272.54465,-0.6053467
1949,3,277.22708,4.0770874
1949,4,282.65714,9.507141
1949,5,287.72983,14.579834
1949,6,290.56073,17.410736
1949,7,289.49432,16.34433
1949,8,288.73093,15.580933
1949,9,287.5408,14.390808
1949,10,284.40536,11.255371
1949,11,276.21512,3.0651245
1949,12,272.15787,-0.99212646
1950,1,273.30222,0.15222168
1950,2,273.0078,-0.1421814
1950,3,276.69412,3.5441284
1950,4,283.07523,9.925232
1950,5,288.35513,15.205139
1950,6,290.1374,16.987396
1950,7,288.99414,15.844147
1950,8,288.38394,15.233948
1950,9,287.53476,14.384766
1950,10,283.8138,10.663818
1950,11,276.25928,3.1092834
1950,12,272.47586,-0.6741333
1951,1,270.75266,-2.3973389
1951,2,273.4926,0.34262085
1951,3,277.76788,4.6178894
1951,4,281.15973,8.009735
1951,5,286.75256,13.60257
1951,6,289.45767,16.307678
1951,7,289.28586,16.135864
1951,8,289.3578,16.207794
1951,9,287.1393,13.989319
1951,10,284.0429,10.892914
1951,11,278.7027,5.552704
1951,12,273.87726,0.7272644
1952,1,271.89276,-1.2572327
1952,2,273.74304,0.5930481
1952,3,275.0271,1.8771057
1952,4,282.1314,8.981415
1952,5,286.1338,12.983795
1952,6,288.88058,15.730591
1952,7,289.44806,16.298065
1952,8,288.8184,15.668396
1952,9,287.53403,14.384033
1952,10,283.1037,9.953705
1952,11,278.04214,4.892151
1952,12,273.37018,0.22018433
1953,1,269.62653,-3.523468
1953,2,273.52203,0.3720398
1953,3,278.8035,5.6535034
1953,4,282.06296,8.912964
1953,5,286.07108,12.921082
1953,6,289.00403,15.854034
1953,7,288.76752,15.617523
1953,8,288.6936,15.54361
1953,9,287.10342,13.95343
1953,10,282.31528,9.165283
1953,11,277.84763,4.697632
1953,12,276.6382,3.4882202
1954,1,270.4573,-2.692688
1954,2,275.14578,1.9957886
1954,3,278.98257,5.8325806
1954,4,284.60843,11.458435
1954,5,288.00623,14.856232
1954,6,290.0262,16.87622
1954,7,289.57736,16.427368
1954,8,289.1513,16.001312
1954,9,288.2939,15.143921
1954,10,282.03812,8.888123
1954,11,277.5198,4.369812
1954,12,273.33804,0.18804932
1955,1,272.373,-0.77700806
1955,2,274.8497,1.699707
1955,3,280.56186,7.411865
1955,4,282.16525,9.015259
1955,5,287.34082,14.190826
1955,6,289.44202,16.292023
1955,7,289.2405,16.090515
1955,8,288.4056,15.255615
1955,9,287.80096,14.65097
1955,10,283.69696,10.546967
1955,11,279.71042,6.560425
1955,12,274.51254,1.3625488
1956,1,272.86096,-0.28903198
1956,2,274.59024,1.4402466
1956,3,279.8724,6.722412
1956,4,285.24945,12.099457
1956,5,289.66016,16.510162
1956,6,289.99268,16.842682
1956,7,289.0795,15.929504
1956,8,288.90546,15.755463
1956,9,287.5503,14.400299
1956,10,282.16412,9.01413
1956,11,277.44046,4.2904663
1956,12,273.5399,0.38989258
1957,1,271.69214,-1.4578552
1957,2,273.35245,0.20245361
1957,3,277.9073,4.7572937
1957,4,283.9295,10.7795105
1957,5,288.1551,15.005096
1957,6,289.60657,16.456573
1957,7,290.07938,16.929382
1957,8,289.43216,16.282166
1957,9,288.07828,14.928284
1957,10,283.34216,10.192169
1957,11,279.20218,6.052185
1957,12,275.27347,2.1234741
1958,1,274.29565,1.1456604
1958,2,274.7236,1.5736084
1958,3,279.6062,6.4562073
1958,4,285.5904,12.440399
1958,5,288.30417,15.154175
1958,6,291.22174,18.071747
1958,7,290.37833,17.228333
1958,8,289.17905,16.029053
1958,9,288.69345,15.543457
1958,10,284.9347,11.7846985
1958,11,280.85068,7.7006836
1958,12,276.67114,3.5211487
1959,1,273.8939,0.7438965
1959,2,274.00403,0.8540344
1959,3,280.27225,7.1222534
1959,4,285.3703,12.220306
1959,5,288.36502,15.215027
1959,6,290.31622,17.16623
1959,7,289.97278,16.822784
1959,8,289.53952,16.389526
1959,9,287.85394,14.703949
1959,10,283.6264,10.47641
1959,11,278.58755,5.437561
1959,12,276.13144,2.9814453
1960,1,272.9901,-0.15988159
1960,2,278.17923,5.029236
1960,3,279.23834,6.0883484
1960,4,284.18658,11.036591
1960,5,289.04846,15.898468
1960,6,291.2531,18.103119
1960,7,289.99948,16.849487
1960,8,289.87085,16.720856
1960,9,287.79138,14.641388
1960,10,283.04086,9.890869
1960,11,278.78677,5.63678
1960,12,276.75253,3.602539
1961,1,273.5197,0.36972046
1961,2,273.1501,9.1552734e-05
1961,3,279.7253,6.5753174
1961,4,284.79123,11.641235
1961,5,288.28998,15.139984
1961,6,290.47366,17.32367
1961,7,290.35733,17.207336
1961,8,289.77155,16.621552
1961,9,288.67215,15.522156
1961,10,283.22128,10.071289
1961,11,276.64807,3.4980774
1961,12,271.3749,-1.7750854
1962,1,272.15366,-0.9963379
1962,2,273.9057,0.7557068
1962,3,277.99292,4.842926
1962,4,284.30194,11.151947
1962,5,287.36804,14.218048
1962,6,290.24988,17.099884
1962,7,290.51077,17.360779
1962,8,289.1246,15.974609
1962,9,287.98123,14.831238
1962,10,283.2981,10.148102
1962,11,279.17996,6.0299683
1962,12,274.22845,1.0784607
1963,1,272.75537,-0.3946228
1963,2,276.31168,3.1616821
1963,3,278.68005,5.53006
1963,4,283.4522,10.302216
1963,5,287.23993,14.089935
1963,6,289.7929,16.642914
1963,7,289.96725,16.81726
1963,8,289.40112,16.25113
1963,9,287.48376,14.333771
1963,10,283.30722,10.157227
1963,11,277.88034,4.7303467
1963,12,274.17496,1.0249634
1964,1,273.3121,0.16210938
1964,2,275.59183,2.4418335
1964,3,281.45255,8.302551
1964,4,286.05682,12.90683
1964,5,287.0675,13.917511
1964,6,291.24673,18.09674
1964,7,289.30768,16.157684
1964,8,289.40527,16.25528
1964,9,287.29892,14.148926
1964,10,284.91245,11.762451
1964,11,279.37762,6.2276306
1964,12,275.46127,2.3112793
1965,1,274.584,1.434021
1965,2,274.42896,1.2789612
1965,3,278.0124,4.8623962
1965,4,283.5007,10.350708
1965,5,287.9047,14.7547
1965,6,290.98947,17.839478
1965,7,289.66705,16.51706
1965,8,288.41913,15.2691345
1965,9,286.83246,13.682465
1965,10,282.17072,9.020721
1965,11,277.95776,4.80777
1965,12,274.9988,1.8488159
1966,1,272.34805,-0.8019409
1966,2,275.9431,2.7931213
1966,3,279.7051,6.5551147
1966,4,284.42725,11.277252
1966,5,288.62415,15.474152
1966,6,290.25943,17.109436
1966,7,289.85596,16.705963
1966,8,289.249,16.098999
1966,9,286.78342,13.633423
1966,10,282.06976,8.919769
1966,11,279.56076,6.4107666
1966,12,275.45972,2.309723
1967,1,273.44354,0.29354858
1967,2,276.95306,3.80307
1967,3,278.39792,5.247925
1967,4,283.45505,10.305054
1967,5,287.6858,14.535797
1967,6,290.41553,17.265533
1967,7,290.11823,16.968231
1967,8,289.3277,16.177704
1967,9,288.1534,15.003418
1967,10,282.82245,9.672455
1967,11,276.95187,3.80188
1967,12,274.3508,1.2008057
1968,1,271.70206,-1.447937
1968,2,273.4979,0.3479004
1968,3,279.15643,6.006439
1968,4,283.8725,10.722504
1968,5,287.94125,14.79126
1968,6,289.2148,16.06482
1968,7,289.4758,16.325806
1968,8,289.46356,16.313568
1968,9,288.65598,15.505981
1968,10,281.06863,7.91864
1968,11,277.83258,4.6825867
1968,12,274.4568,1.3067932
1969,1,272.2717,-0.8782959
1969,2,275.2145,2.0645142
1969,3,281.0894,7.939392
1969,4,284.30023,11.150238
1969,5,287.22247,14.072479
1969,6,289.95767,16.807678
1969,7,289.90497,16.754974
1969,8,289.29492,16.144928
1969,9,287.51688,14.366882
1969,10,283.09338,9.94339
1969,11,279.9285,6.7785034
1969,12,276.04926,2.8992615
1970,1,273.4335,0.2835083
1970,2,274.47263,1.3226318
1970,3,278.81885,5.6688538
1970,4,285.21143,12.061432
1970,5,288.57816,15.428162
1970,6,289.42282,16.272827
1970,7,290.26193,17.111938
1970,8,289.5925,16.442505
1970,9,288.42416,15.27417
1970,10,284.63892,11.488922
1970,11,278.56485,5.414856
1970,12,275.98428,2.8342896
1971,1,273.33688,0.18688965
1971,2,274.94427,1.794281
1971,3,278.7379,5.587921
1971,4,284.02316,10.873169
1971,5,286.206,13.056
1971,6,289.45917,16.309174
1971,7,289.56815,16.418152
1971,8,288.7832,15.633209
1971,9,288.06464,14.914642
1971,10,282.9963,9.846313
1971,11,277.1951,4.045105
1971,12,275.72086,2.5708618
1972,1,274.88043,1.7304382
1972,2,273.48383,0.3338318
1972,3,280.20062,7.0506287
1972,4,283.92102,10.771027
1972,5,289.01288,15.8628845
1972,6,291.26074,18.110748
1972,7,291.25043,18.100433
1972,8,289.65372,16.503723
1972,9,287.16708,14.01709
1972,10,282.70364,9.55365
1972,11,276.9893,3.8392944
1972,12,274.63132,1.4813232
1973,1,273.64215,0.49215698
1973,2,275.47015,2.32016
1973,3,279.13354,5.983551
1973,4,286.06012,12.910126
1973,5,288.26456,15.114563
1973,6,289.54465,16.394653
1973,7,290.47485,17.32486
1973,8,289.36777,16.217773
1973,9,288.02667,14.876678
1973,10,282.2407,9.090698
1973,11,277.77127,4.621277
1973,12,273.8577,0.70770264
1974,1,273.14517,-0.0048217773
1974,2,274.9326,1.7825928
1974,3,280.51517,7.3651733
1974,4,285.7745,12.624512
1974,5,288.41302,15.263031
1974,6,290.69833,17.54834
1974,7,289.8762,16.726196
1974,8,289.85538,16.705383
1974,9,288.04114,14.891144
1974,10,285.7528,12.602814
1974,11,278.76996,5.6199646
1974,12,273.71628,0.5662842
1975,1,272.37,-0.7799988
1975,2,274.33038,1.1803894
1975,3,278.93948,5.7894897
1975,4,285.02213,11.872131
1975,5,288.4859,15.335907
1975,6,290.63934,17.48935
1975,7,289.6379,16.487915
1975,8,289.96594,16.815948
1975,9,288.26428,15.114288
1975,10,285.85266,12.702667
1975,11,278.65765,5.50766
1975,12,275.61835,2.4683533
1976,1,274.3236,1.1736145
1976,2,276.364,3.2140198
1976,3,280.18826,7.038269
1976,4,284.58975,11.439758
1976,5,287.77097,14.620972
1976,6,289.971,16.821014
1976,7,290.20355,17.053558
1976,8,289.2714,16.121399
1976,9,288.05435,14.904358
1976,10,284.23828,11.088287
1976,11,281.41403,8.264038
1976,12,275.32742,2.1774292
1977,1,273.967,0.8170166
1977,2,275.8665,2.7164917
1977,3,281.89722,8.747223
1977,4,284.7094,11.559418
1977,5,286.33417,13.184174
1977,6,290.17282,17.022827
1977,7,290.40567,17.255676
1977,8,290.2398,17.089813
1977,9,288.61746,15.467468
1977,10,283.80444,10.654449
1977,11,280.77228,7.622284
1977,12,275.20728,2.0572815
1978,1,271.7732,-1.3768005
1978,2,274.32837,1.1783752
1978,3,277.6734,4.523407
1978,4,283.88806,10.738068
1978,5,289.29697,16.146973
1978,6,290.9365,17.786499
1978,7,290.42804,17.278046
1978,8,290.11392,16.963928
1978,9,288.17792,15.027924
1978,10,284.8969,11.746918
1978,11,279.83893,6.6889343
1978,12,274.79114,1.6411438
1979,1,274.31824,1.1682434
1979,2,273.91818,0.7681885
1979,3,278.41724,5.2672424
1979,4,285.2541,12.104095
1979,5,288.4093,15.259308
1979,6,290.85226,17.70227
1979,7,290.5839,17.433899
1979,8,290.61185,17.461853
1979,9,288.21106,15.061066
1979,10,284.46002,11.310028
1979,11,281.35434,8.204346
1979,12,274.43607,1.2860718
1980,1,272.5467,-0.603302
1980,2,275.76093,2.6109314
1980,3,279.23694,6.0869446
1980,4,285.94528,12.795288
1980,5,288.48172,15.331726
1980,6,290.2772,17.127197
1980,7,290.5284,17.378418
1980,8,290.03363,16.883636
1980,9,288.48044,15.330444
1980,10,283.21252,10.0625305
1980,11,279.5928,6.44281
1980,12,276.32495,3.1749573
1981,1,272.41208,-0.73791504
1981,2,275.7479,2.5979004
1981,3,279.1801,6.030121
1981,4,284.26837,11.118378
1981,5,287.92798,14.777985
1981,6,290.96613,17.816132
1981,7,290.4527,17.302704
1981,8,290.4543,17.304321
1981,9,288.25674,15.1067505
1981,10,283.90363,10.753632
1981,11,277.33884,4.188843
1981,12,273.4534,0.30340576
1982,1,274.00137,0.8513794
1982,2,273.59497,0.4449768
1982,3,277.94345,4.793457
1982,4,283.79218,10.642181
